Symbol,symbol_url
JINDALSTEL,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
J&KBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB
JKLAKSHMI,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01
JKPAPER,https://www.moneycontrol.com/india/stockpricequote/paper/jkpaper/JKP01
JKTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
JMFINANCIL,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF
JCHAC,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
JSWENERGY,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01
JSWSTEEL,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
JTEKTINDIA,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04
JUBLFOOD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
JUBILANT,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03
JUSTDIAL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD
JYOTHYLAB,https://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylabs/JL
KAJARIACER,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
KALPATPOWR,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT
KANSAINER,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP
KTKBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04
KEC,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04
KEI,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/keiindustries/KEI
KNRCON,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/knrconstructions/KC13
KOTAKBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
KPRMILL,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kprmill/M15
